place,grav,sexe,trajet,secu1,secu2,lum,agg,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,senc,catv,obs,obsm,choc,manv,motor,Hour,DayOfWeek,Month,Age
1,4,2,5,1,-1,3,1,1,1,5,48.9953305436,2.5165772438,1,3,6,0,1,1,1,0,1,110,2,7,0,2,4,1,1,20,1,12,41.0
1,4,1,5,1,-1,3,1,1,3,6,48.97578,2.23994,1,3,6,0,1,2,3,0,2,110,1,7,4,9,1,21,1,0,1,12,20.0
1,4,1,1,2,0,1,2,1,1,3,48.702077,2.190553,4,2,2,2,2,1,1,0,1,50,0,1,0,2,1,2,5,12,4,11,59.0
1,1,2,1,1,0,1,2,1,1,3,48.702077,2.190553,4,2,2,2,2,1,1,0,1,50,0,7,0,2,2,11,1,12,4,11,61.0
1,4,1,0,1,0,1,2,9,1,1,48.88125,2.42095,3,2,2,0,1,1,1,0,1,30,2,31,0,2,1,3,1,12,5,2,36.0
1,4,1,0,2,0,1,2,9,1,1,48.88125,2.42095,3,2,2,0,1,1,1,0,1,30,1,30,0,2,1,3,1,12,5,2,45.0
1,4,1,9,2,0,1,2,2,8,3,48.8846,2.37965,4,2,3,0,1,1,2,0,1,30,0,80,0,2,1,15,3,13,1,11,50.0
1,1,1,9,1,0,1,2,2,8,3,48.8846,2.37965,4,2,3,0,1,1,2,0,1,30,2,7,0,2,1,15,1,13,1,11,33.0
1,1,1,5,1,0,5,2,2,1,3,48.870688,2.347917,4,2,3,1,1,1,1,-1,6,30,1,7,0,2,2,12,1,4,5,11,22.0
1,1,1,5,2,6,5,2,2,1,3,48.870688,2.347917,4,2,3,1,1,1,1,-1,6,30,1,43,0,2,3,7,1,4,5,11,27.0
1,1,2,2,1,-1,2,2,3,1,6,48.682478,2.171151,4,2,2,0,1,1,1,6,1,30,3,7,0,1,1,15,1,7,1,11,26.0
1,4,1,5,8,0,1,1,1,2,2,49.002071,2.081583,2,3,4,0,1,1,2,0,1,90,1,1,0,2,4,11,5,12,4,5,81.0
1,1,1,4,1,0,1,1,1,2,2,49.002071,2.081583,2,3,4,0,1,1,2,0,1,90,1,7,0,2,2,1,1,12,4,5,29.0
1,1,1,-1,-1,-1,3,1,1,1,2,48.69974,2.311845,1,3,-1,-1,1,1,1,0,1,-1,1,7,0,2,-1,17,-1,20,2,2,67.0
1,2,1,1,1,-1,3,1,1,1,2,48.69974,2.311845,1,3,-1,-1,1,1,1,0,1,-1,1,7,0,0,0,1,1,20,2,2,59.0
1,1,1,4,0,-1,1,2,8,1,6,48.584327,2.228337,4,2,-1,-1,1,1,1,4,1,-1,2,39,0,1,6,1,3,18,0,7,34.0
1,1,1,4,1,-1,5,2,1,1,2,48.9658313804,2.4084949493,3,3,0,0,1,1,1,0,1,50,1,7,0,2,4,23,2,3,6,11,24.0
1,3,2,5,1,-1,1,1,1,1,6,48.569459,2.757182,3,2,2,0,2,1,7,0,8,90,3,7,2,0,0,14,1,9,5,12,19.0
